[ 1 01-08-23  05:44:29] Сервер запущен!
[ 1 03-08-23  02:23:43] Сервер запущен!
[ 1 03-08-23  02:43:01] Сервер запущен!
[ 1 03-08-23  02:43:19]  Коля: Хочу спать
[ 2 03-08-23  02:43:33]  Коля вышел из чата
[ 1 03-08-23  02:43:51] Петя: Я тоже
[ 2 03-08-23  02:43:59] Петя вышел из чата
[ 1 03-08-23  02:46:57] Сервер запущен!
[ 1 03-08-23  03:10:32] Сервер запущен!
[ 1 03-08-23  03:10:55] Сервер запущен!
[ 1 03-08-23  03:14:27] Сервер запущен!
[ 1 03-08-23  03:17:45] Сервер запущен!
[ 1 03-08-23  03:18:06] Алекс: спать хочу
[ 2 03-08-23  03:18:23] Алекс вышел из чата
[ 1 03-08-23  03:18:48] d: er
[ 2 03-08-23  03:18:52] d вышел из чата
[ 1 03-08-23  03:20:31] Сервер запущен!
[ 1 03-08-23  03:20:50] александр: спать хочу
[ 1 03-08-23  03:37:37] Сервер запущен!
[ 1 03-08-23  03:37:49] Cfif: asdasd
[ 2 03-08-23  03:37:57] Cfif вышел из чата
[ 1 03-08-23  04:21:54] Сервер запущен!
[ 1 03-08-23  04:22:06] Привет: как дела
[ 2 03-08-23  04:22:10] Привет: Пока
[ 3 03-08-23  04:22:19] Привет вышел из чата
[ 1 03-08-23  04:22:35] close: /close
[ 1 03-08-23  06:24:46] Сервер запущен!
[ 1 03-08-23  06:25:01] Паша: я не Паша
[ 2 03-08-23  06:25:11] Паша: /exid
[ 3 03-08-23  06:25:19] Паша вышел из чата
